year,state,totals
2018,Alabama,32706
2018,Alaska,5699
2018,Arizona,30667
2018,Arkansas,17072
2018,California,91975
2018,Colorado,35347
2018,Connecticut,12754
2018,Delaware,2843
2018,District of Columbia,203
2018,Florida,78804
2018,Georgia,36097
2018,Guam,120
2018,Hawaii,975
2018,Idaho,15566
2018,Illinois,228695
2018,Indiana,51787
2018,Iowa,13861
2018,Kansas,11429
2018,Kentucky,409385
2018,Louisiana,25058
2018,Maine,7926
2018,Mariana Islands,8
2018,Maryland,10237
2018,Massachusetts,16320
2018,Michigan,34781
2018,Minnesota,43339
2018,Mississippi,17683
2018,Missouri,35005
2018,Montana,9770
2018,Nebraska,4763
2018,Nevada,8486
2018,New Hampshire,9009
2018,New Jersey,6138
2018,New Mexico,11160
2018,New York,29374
2018,North Carolina,29572
2018,North Dakota,5226
2018,Ohio,45698
2018,Oklahoma,22160
2018,Oregon,26644
2018,Pennsylvania,70420
2018,Puerto Rico,2490
2018,Rhode Island,1621
2018,South Carolina,20159
2018,South Dakota,7305
2018,Tennessee,46134
2018,Texas,121366
2018,Utah,18221
2018,Vermont,3590
2018,Virgin Islands,99
2018,Virginia,33627
2018,Washington,42874
2018,West Virginia,15411
2018,Wisconsin,33194
2018,Wyoming,4988
2018,Alabama,37227
2018,Alaska,6818
2018,Arizona,34149
2018,Arkansas,20502
2018,California,103019
2018,Colorado,40922
2018,Connecticut,14338
2018,Delaware,2914
2018,District of Columbia,329
2018,Florida,89711
2018,Georgia,40046
2018,Guam,133
2018,Hawaii,1129
2018,Idaho,14312
2018,Illinois,242864
2018,Indiana,60712
2018,Iowa,14306
2018,Kansas,12690
2018,Kentucky,411800
2018,Louisiana,24273
2018,Maine,6951
2018,Mariana Islands,13
2018,Maryland,11281
2018,Massachusetts,17975
2018,Michigan,36381
2018,Minnesota,41548
2018,Mississippi,20545
2018,Missouri,37674
2018,Montana,9309
2018,Nebraska,4456
2018,Nevada,9350
2018,New Hampshire,9005
2018,New Jersey,7216
2018,New Mexico,12038
2018,New York,27145
2018,North Carolina,39800
2018,North Dakota,4700
2018,Ohio,50289
2018,Oklahoma,24190
2018,Oregon,25648
2018,Pennsylvania,74944
2018,Puerto Rico,2816
2018,Rhode Island,1733
2018,South Carolina,27280
2018,South Dakota,7156
2018,Tennessee,52483
2018,Texas,134727
2018,Utah,22634
2018,Vermont,2781
2018,Virgin Islands,59
2018,Virginia,34578
2018,Washington,44867
2018,West Virginia,15366
2018,Wisconsin,32732
2018,Wyoming,4445
2018,Alabama,32572
2018,Alaska,5714
2018,Arizona,26359
2018,Arkansas,19399
2018,California,94672
2018,Colorado,37788
2018,Connecticut,13650
2018,Delaware,2840
2018,District of Columbia,246
2018,Florida,82909
2018,Georgia,34244
2018,Guam,145
2018,Hawaii,1057
2018,Idaho,14478
2018,Illinois,198971
2018,Indiana,60457
2018,Iowa,10329
2018,Kansas,11364
2018,Kentucky,393583
2018,Louisiana,20229
2018,Maine,5968
2018,Mariana Islands,15
2018,Maryland,10020
2018,Massachusetts,14275
2018,Michigan,32443
2018,Minnesota,36279
2018,Mississippi,14206
2018,Missouri,30157
2018,Montana,7794
2018,Nebraska,4220
2018,Nevada,8903
2018,New Hampshire,8029
2018,New Jersey,6857
2018,New Mexico,10485
2018,New York,22405
2018,North Carolina,35244
2018,North Dakota,3791
2018,Ohio,45689
2018,Oklahoma,19932
2018,Oregon,23171
2018,Pennsylvania,66391
2018,Puerto Rico,2268
2018,Rhode Island,1472
2018,South Carolina,17434
2018,South Dakota,5385
2018,Tennessee,48261
2018,Texas,122071
2018,Utah,22301
2018,Vermont,2313
2018,Virgin Islands,138
2018,Virginia,32931
2018,Washington,41040
2018,West Virginia,13136
2018,Wisconsin,26598
2018,Wyoming,4118
2018,Alabama,32572
2018,Alaska,6330
2018,Arizona,28041
2018,Arkansas,18809
2018,California,99683
2018,Colorado,38395
2018,Connecticut,14440
2018,Delaware,3211
2018,District of Columbia,259
2018,Florida,88991
2018,Georgia,35963
2018,Guam,146
2018,Hawaii,1170
2018,Idaho,15401
2018,Illinois,225006
2018,Indiana,74423
2018,Iowa,10904
2018,Kansas,11501
2018,Kentucky,411606
2018,Louisiana,22339
2018,Maine,6156
2018,Mariana Islands,17
2018,Maryland,10333
2018,Massachusetts,15930
2018,Michigan,33308
2018,Minnesota,38204
2018,Mississippi,15858
2018,Missouri,32616
2018,Montana,8746
2018,Nebraska,4418
2018,Nevada,9442
2018,New Hampshire,8511
2018,New Jersey,7413
2018,New Mexico,11259
2018,New York,23921
2018,North Carolina,37350
2018,North Dakota,4124
2018,Ohio,47756
2018,Oklahoma,22471
2018,Oregon,26685
2018,Pennsylvania,71106
2018,Puerto Rico,2522
2018,Rhode Island,1685
2018,South Carolina,18597
2018,South Dakota,5779
2018,Tennessee,47938
2018,Texas,108008
2018,Utah,29176
2018,Vermont,2725
2018,Virgin Islands,116
2018,Virginia,32496
2018,Washington,44090
2018,West Virginia,14127
2018,Wisconsin,26403
2018,Wyoming,4362
2018,Alabama,33193
2018,Alaska,7548
2018,Arizona,28285
2018,Arkansas,17667
2018,California,104498
2018,Colorado,41583
2018,Connecticut,14409
2018,Delaware,3674
2018,District of Columbia,289
2018,Florida,95481
2018,Georgia,39528
2018,Guam,156
2018,Hawaii,1187
2018,Idaho,18243
2018,Illinois,233963
2018,Indiana,78143
2018,Iowa,13766
2018,Kansas,11062
2018,Kentucky,395487
2018,Louisiana,20265
2018,Maine,6847
2018,Mariana Islands,13
2018,Maryland,11990
2018,Massachusetts,18574
2018,Michigan,35563
2018,Minnesota,47533
2018,Mississippi,15999
2018,Missouri,31607
2018,Montana,8952
2018,Nebraska,5165
2018,Nevada,10327
2018,New Hampshire,9875
2018,New Jersey,8037
2018,New Mexico,11432
2018,New York,25621
2018,North Carolina,43211
2018,North Dakota,4539
2018,Ohio,51734
2018,Oklahoma,21697
2018,Oregon,28305
2018,Pennsylvania,75296
2018,Puerto Rico,2616
2018,Rhode Island,1887
2018,South Carolina,17103
2018,South Dakota,5720
2018,Tennessee,50613
2018,Texas,111159
2018,Utah,31638
2018,Vermont,2818
2018,Virgin Islands,136
2018,Virginia,32135
2018,Washington,46008
2018,West Virginia,17108
2018,Wisconsin,28841
2018,Wyoming,4820
2018,Alabama,34915
2018,Alaska,7367
2018,Arizona,31658
2018,Arkansas,18240
2018,California,121478
2018,Colorado,47462
2018,Connecticut,15269
2018,Delaware,4988
2018,District of Columbia,321
2018,Florida,102426
2018,Georgia,43671
2018,Guam,155
2018,Hawaii,1393
2018,Idaho,16974
2018,Illinois,238774
2018,Indiana,78367
2018,Iowa,17457
2018,Kansas,13184
2018,Kentucky,409485
2018,Louisiana,22491
2018,Maine,8745
2018,Mariana Islands,22
2018,Maryland,14105
2018,Massachusetts,17983
2018,Michigan,44190
2018,Minnesota,64410
2018,Mississippi,17470
2018,Missouri,38859
2018,Montana,9795
2018,Nebraska,6643
2018,Nevada,11470
2018,New Hampshire,11372
2018,New Jersey,8958
2018,New Mexico,12859
2018,New York,33326
2018,North Carolina,47770
2018,North Dakota,5793
2018,Ohio,65456
2018,Oklahoma,25345
2018,Oregon,32494
2018,Pennsylvania,91401
2018,Puerto Rico,2224
2018,Rhode Island,2332
2018,South Carolina,19286
2018,South Dakota,7040
2018,Tennessee,53166
2018,Texas,114704
2018,Utah,29213
2018,Vermont,5081
2018,Virgin Islands,133
2018,Virginia,37720
2018,Washington,51693
2018,West Virginia,22379
2018,Wisconsin,41542
2018,Wyoming,5065
2018,Alabama,50610
2018,Alaska,7800
2018,Arizona,41551
2018,Arkansas,24492
2018,California,136228
2018,Colorado,61839
2018,Connecticut,18091
2018,Delaware,6298
2018,District of Columbia,381
2018,Florida,137997
2018,Georgia,67791
2018,Guam,146
2018,Hawaii,1420
2018,Idaho,24342
2018,Illinois,271714
2018,Indiana,121376
2018,Iowa,21697
2018,Kansas,18772
2018,Kentucky,421247
2018,Louisiana,31519
2018,Maine,10684
2018,Mariana Islands,25
2018,Maryland,17841
2018,Massachusetts,22326
2018,Michigan,59589
2018,Minnesota,72268
2018,Mississippi,27387
2018,Missouri,58076
2018,Montana,13402
2018,Nebraska,9048
2018,Nevada,14322
2018,New Hampshire,14184
2018,New Jersey,10195
2018,New Mexico,18357
2018,New York,37050
2018,North Carolina,61950
2018,North Dakota,6803
2018,Ohio,91247
2018,Oklahoma,35317
2018,Oregon,41616
2018,Pennsylvania,123031
2018,Puerto Rico,2072
2018,Rhode Island,3528
2018,South Carolina,29427
2018,South Dakota,10135
2018,Tennessee,71458
2018,Texas,161200
2018,Utah,33649
2018,Vermont,6177
2018,Virgin Islands,195
2018,Virginia,55765
2018,Washington,66587
2018,West Virginia,40701
2018,Wisconsin,56482
2018,Wyoming,6476
2018,Alabama,45171
2018,Alaska,5392
2018,Arizona,36281
2018,Arkansas,24266
2018,California,107649
2018,Colorado,47221
2018,Connecticut,15617
2018,Delaware,4651
2018,District of Columbia,217
2018,Florida,119561
2018,Georgia,57838
2018,Guam,146
2018,Hawaii,1074
2018,Idaho,20359
2018,Illinois,185288
2018,Indiana,81904
2018,Iowa,17387
2018,Kansas,18016
2018,Kentucky,417418
2018,Louisiana,26449
2018,Maine,7816
2018,Mariana Islands,20
2018,Maryland,13245
2018,Massachusetts,16463
2018,Michigan,44706
2018,Minnesota,49636
2018,Mississippi,25182
2018,Missouri,49381
2018,Montana,9983
2018,Nebraska,7585
2018,Nevada,12407
2018,New Hampshire,11486
2018,New Jersey,8459
2018,New Mexico,15891
2018,New York,31129
2018,North Carolina,53082
2018,North Dakota,5116
2018,Ohio,73240
2018,Oklahoma,31763
2018,Oregon,32397
2018,Pennsylvania,98075
2018,Puerto Rico,2076
2018,Rhode Island,2646
2018,South Carolina,28968
2018,South Dakota,8086
2018,Tennessee,66667
2018,Texas,155942
2018,Utah,22632
2018,Vermont,3870
2018,Virgin Islands,41
2018,Virginia,47385
2018,Washington,53915
2018,West Virginia,23344
2018,Wisconsin,43777
2018,Wyoming,5057
2018,Alabama,38477
2018,Alaska,4429
2018,Arizona,28627
2018,Arkansas,17483
2018,California,119910
2018,Colorado,41989
2018,Connecticut,13775
2018,Delaware,3684
2018,District of Columbia,283
2018,Florida,98243
2018,Georgia,45591
2018,Guam,135
2018,Hawaii,1185
2018,Idaho,15060
2018,Illinois,170007
2018,Indiana,83769
2018,Iowa,19745
2018,Kansas,13782
2018,Kentucky,402376
2018,Louisiana,20744
2018,Maine,5850
2018,Mariana Islands,10
2018,Maryland,12564
2018,Massachusetts,16120
2018,Michigan,35895
2018,Minnesota,50478
2018,Mississippi,16642
2018,Missouri,35204
2018,Montana,7448
2018,Nebraska,6645
2018,Nevada,9952
2018,New Hampshire,8758
2018,New Jersey,8010
2018,New Mexico,11783
2018,New York,26079
2018,North Carolina,43439
2018,North Dakota,4388
2018,Ohio,52079
2018,Oklahoma,23460
2018,Oregon,27037
2018,Pennsylvania,78428
2018,Puerto Rico,2022
2018,Rhode Island,1882
2018,South Carolina,22311
2018,South Dakota,6556
2018,Tennessee,55251
2018,Texas,123042
2018,Utah,21187
2018,Vermont,2268
2018,Virgin Islands,137
2018,Virginia,35206
2018,Washington,51432
2018,West Virginia,15102
2018,Wisconsin,36791
2018,Wyoming,3971
2017,Alabama,56545
2017,Alaska,8330
2017,Arizona,41559
2017,Arkansas,29559
2017,California,142492
2017,Colorado,59800
2017,Connecticut,15455
2017,Delaware,5544
2017,District of Columbia,204
2017,Florida,137355
2017,Georgia,64491
2017,Guam,181
2017,Hawaii,1119
2017,Idaho,19750
2017,Illinois,163756
2017,Indiana,92261
2017,Iowa,19236
2017,Kansas,23133
2017,Kentucky,417841
2017,Louisiana,41735
2017,Maine,9364
2017,Mariana Islands,23
2017,Maryland,16062
2017,Massachusetts,17941
2017,Michigan,45578
2017,Minnesota,51143
2017,Mississippi,35528
2017,Missouri,62810
2017,Montana,12979
2017,Nebraska,8953
2017,Nevada,13626
2017,New Hampshire,12035
2017,New Jersey,9341
2017,New Mexico,18635
2017,New York,36347
2017,North Carolina,57209
2017,North Dakota,6528
2017,Ohio,78726
2017,Oklahoma,41245
2017,Oregon,38537
2017,Pennsylvania,107730
2017,Puerto Rico,2767
2017,Rhode Island,2269
2017,South Carolina,38260
2017,South Dakota,10507
2017,Tennessee,87983
2017,Texas,181236
2017,Utah,27220
2017,Vermont,3759
2017,Virgin Islands,131
2017,Virginia,60398
2017,Washington,58937
2017,West Virginia,27273
2017,Wisconsin,47120
2017,Wyoming,6940
2017,Alabama,47418
2017,Alaska,7527
2017,Arizona,34541
2017,Arkansas,26049
2017,California,140695
2017,Colorado,51473
2017,Connecticut,14334
2017,Delaware,4577
2017,District of Columbia,365
2017,Florida,123397
2017,Georgia,54950
2017,Guam,127
2017,Hawaii,1171
2017,Idaho,15772
2017,Illinois,150588
2017,Indiana,75879
2017,Iowa,17182
2017,Kansas,20460
2017,Kentucky,404508
2017,Louisiana,35485
2017,Maine,8578
2017,Mariana Islands,21
2017,Maryland,16266
2017,Massachusetts,17548
2017,Michigan,54350
2017,Minnesota,48087
2017,Mississippi,28188
2017,Missouri,56129
2017,Montana,11107
2017,Nebraska,8303
2017,Nevada,12064
2017,New Hampshire,11627
2017,New Jersey,9433
2017,New Mexico,16110
2017,New York,37306
2017,North Carolina,51839
2017,North Dakota,6334
2017,Ohio,76732
2017,Oklahoma,38406
2017,Oregon,34103
2017,Pennsylvania,104479
2017,Puerto Rico,2307
2017,Rhode Island,2173
2017,South Carolina,34132
2017,South Dakota,9908
2017,Tennessee,74800
2017,Texas,163358
2017,Utah,24359
2017,Vermont,3240
2017,Virgin Islands,86
2017,Virginia,53142
2017,Washington,53072
2017,West Virginia,24455
2017,Wisconsin,48683
2017,Wyoming,5665
2017,Alabama,36619
2017,Alaska,8080
2017,Arizona,29277
2017,Arkansas,20327
2017,California,119395
2017,Colorado,40163
2017,Connecticut,13201
2017,Delaware,3692
2017,District of Columbia,217
2017,Florida,103032
2017,Georgia,43293
2017,Guam,135
2017,Hawaii,1235
2017,Idaho,15130
2017,Illinois,122798
2017,Indiana,55336
2017,Iowa,14012
2017,Kansas,15018
2017,Kentucky,401155
2017,Louisiana,27436
2017,Maine,10328
2017,Mariana Islands,9
2017,Maryland,13651
2017,Massachusetts,16842
2017,Michigan,44262
2017,Minnesota,55012
2017,Mississippi,19080
2017,Missouri,43987
2017,Montana,11673
2017,Nebraska,6543
2017,Nevada,10198
2017,New Hampshire,10371
2017,New Jersey,7852
2017,New Mexico,13543
2017,New York,32615
2017,North Carolina,43211
2017,North Dakota,6209
2017,Ohio,56960
2017,Oklahoma,25822
2017,Oregon,27786
2017,Pennsylvania,87064
2017,Puerto Rico,1306
2017,Rhode Island,2103
2017,South Carolina,28996
2017,South Dakota,9244
2017,Tennessee,55531
2017,Texas,129869
2017,Utah,19619
2017,Vermont,3463
2017,Virgin Islands,68
2017,Virginia,40293
2017,Washington,48147
2017,West Virginia,18256
2017,Wisconsin,43183
2017,Wyoming,4370
2017,Alabama,32019
2017,Alaska,6303
2017,Arizona,28394
2017,Arkansas,17747
2017,California,123506
2017,Colorado,35873
2017,Connecticut,12117
2017,Delaware,3502
2017,District of Columbia,61
2017,Florida,77390
2017,Georgia,35371
2017,Guam,135
2017,Hawaii,948
2017,Idaho,14938
2017,Illinois,116449
2017,Indiana,48524
2017,Iowa,9975
2017,Kansas,12856
2017,Kentucky,398706
2017,Louisiana,27821
2017,Maine,8715
2017,Mariana Islands,16
2017,Maryland,11255
2017,Massachusetts,15460
2017,Michigan,36944
2017,Minnesota,44552
2017,Mississippi,17491
2017,Missouri,37571
2017,Montana,10283
2017,Nebraska,5345
2017,Nevada,9460
2017,New Hampshire,10689
2017,New Jersey,7165
2017,New Mexico,12491
2017,New York,30703
2017,North Carolina,37325
2017,North Dakota,5212
2017,Ohio,49942
2017,Oklahoma,23371
2017,Oregon,27277
2017,Pennsylvania,77003
2017,Puerto Rico,791
2017,Rhode Island,1799
2017,South Carolina,25930
2017,South Dakota,7457
2017,Tennessee,50945
2017,Texas,128260
2017,Utah,20041
2017,Vermont,3084
2017,Virgin Islands,9
2017,Virginia,36446
2017,Washington,43049
2017,West Virginia,16723
2017,Wisconsin,37506
2017,Wyoming,4281
2017,Alabama,35038
2017,Alaska,6946
2017,Arizona,29376
2017,Arkansas,17517
2017,California,130901
2017,Colorado,37150
2017,Connecticut,14019
2017,Delaware,3509
2017,District of Columbia,80
2017,Florida,96664
2017,Georgia,38830
2017,Guam,159
2017,Hawaii,1079
2017,Idaho,13341
2017,Illinois,126921
2017,Indiana,47649
2017,Iowa,9416
2017,Kansas,13097
2017,Kentucky,394718
2017,Louisiana,24694
2017,Maine,7751
2017,Mariana Islands,27
2017,Maryland,11561
2017,Massachusetts,16258
2017,Michigan,39255
2017,Minnesota,46613
2017,Mississippi,21963
2017,Missouri,37449
2017,Montana,9618
2017,Nebraska,5209
2017,Nevada,9035
2017,New Hampshire,9313
2017,New Jersey,7443
2017,New Mexico,11690
2017,New York,28779
2017,North Carolina,41122
2017,North Dakota,4874
2017,Ohio,51103
2017,Oklahoma,24061
2017,Oregon,24904
2017,Pennsylvania,79020
2017,Puerto Rico,1490
2017,Rhode Island,1718
2017,South Carolina,31663
2017,South Dakota,6686
2017,Tennessee,49945
2017,Texas,110946
2017,Utah,22010
2017,Vermont,2676
2017,Virgin Islands,132
2017,Virginia,39114
2017,Washington,42120
2017,West Virginia,14770
2017,Wisconsin,40924
2017,Wyoming,4111
2017,Alabama,31474
2017,Alaska,6487
2017,Arizona,25714
2017,Arkansas,14015
2017,California,114595
2017,Colorado,33811
2017,Connecticut,14525
2017,Delaware,2981
2017,District of Columbia,68
2017,Florida,92822
2017,Georgia,35085
2017,Guam,145
2017,Hawaii,1109
2017,Idaho,11871
2017,Illinois,108000
2017,Indiana,47145
2017,Iowa,8801
2017,Kansas,13775
2017,Kentucky,390494
2017,Louisiana,20454
2017,Maine,5837
2017,Mariana Islands,13
2017,Maryland,10088
2017,Massachusetts,12900
2017,Michigan,33378
2017,Minnesota,41186
2017,Mississippi,14388
2017,Missouri,32415
2017,Montana,7890
2017,Nebraska,4266
2017,Nevada,8310
2017,New Hampshire,8333
2017,New Jersey,7034
2017,New Mexico,10580
2017,New York,25576
2017,North Carolina,34784
2017,North Dakota,4136
2017,Ohio,49432
2017,Oklahoma,20738
2017,Oregon,23239
2017,Pennsylvania,73654
2017,Puerto Rico,1381
2017,Rhode Island,1646
2017,South Carolina,26567
2017,South Dakota,6068
2017,Tennessee,52643
2017,Texas,98338
2017,Utah,17925
2017,Vermont,2275
2017,Virgin Islands,151
2017,Virginia,36183
2017,Washington,38369
2017,West Virginia,13970
2017,Wisconsin,32846
2017,Wyoming,3398
2017,Alabama,35687
2017,Alaska,6353
2017,Arizona,28359
2017,Arkansas,16614
2017,California,130187
2017,Colorado,36459
2017,Connecticut,16504
2017,Delaware,3634
2017,District of Columbia,74
2017,Florida,100508
2017,Georgia,39874
2017,Guam,156
2017,Hawaii,1083
2017,Idaho,20241
2017,Illinois,113889
2017,Indiana,49689
2017,Iowa,8352
2017,Kansas,13485
2017,Kentucky,392002
2017,Louisiana,23497
2017,Maine,6474
2017,Mariana Islands,12
2017,Maryland,10945
2017,Massachusetts,15841
2017,Michigan,37088
2017,Minnesota,44775
2017,Mississippi,17154
2017,Missouri,36752
2017,Montana,9901
2017,Nebraska,4265
2017,Nevada,10602
2017,New Hampshire,9184
2017,New Jersey,7790
2017,New Mexico,11398
2017,New York,27677
2017,North Carolina,39169
2017,North Dakota,4939
2017,Ohio,53164
2017,Oklahoma,24632
2017,Oregon,27103
2017,Pennsylvania,76201
2017,Puerto Rico,1631
2017,Rhode Island,1899
2017,South Carolina,32995
2017,South Dakota,6704
2017,Tennessee,52959
2017,Texas,118091
2017,Utah,22138
2017,Vermont,2382
2017,Virgin Islands,153
2017,Virginia,36838
2017,Washington,46023
2017,West Virginia,14498
2017,Wisconsin,36267
2017,Wyoming,3975
2017,Alabama,33331
2017,Alaska,6442
2017,Arizona,28734
2017,Arkansas,16749
2017,California,129307
2017,Colorado,36008
2017,Connecticut,16149
2017,Delaware,4012
2017,District of Columbia,82
2017,Florida,96556
2017,Georgia,36905
2017,Guam,157
2017,Hawaii,1117
2017,Idaho,13065
2017,Illinois,121746
2017,Indiana,54347
2017,Iowa,10232
2017,Kansas,12337
2017,Kentucky,391740
2017,Louisiana,21311
2017,Maine,7200
2017,Mariana Islands,12
2017,Maryland,11660
2017,Massachusetts,16651
2017,Michigan,38548
2017,Minnesota,55570
2017,Mississippi,15680
2017,Missouri,34965
2017,Montana,9418
2017,Nebraska,5025
2017,Nevada,9803
2017,New Hampshire,8868
2017,New Jersey,8694
2017,New Mexico,11291
2017,New York,31294
2017,North Carolina,39413
2017,North Dakota,4654
2017,Ohio,56229
2017,Oklahoma,22693
2017,Oregon,26466
2017,Pennsylvania,79725
2017,Puerto Rico,1600
2017,Rhode Island,1883
2017,South Carolina,31248
2017,South Dakota,7004
2017,Tennessee,57763
2017,Texas,109732
2017,Utah,23844
2017,Vermont,2577
2017,Virgin Islands,79
2017,Virginia,36007
2017,Washington,45816
2017,West Virginia,15085
2017,Wisconsin,37888
2017,Wyoming,4128
2017,Alabama,32652
2017,Alaska,6983
2017,Arizona,32052
2017,Arkansas,16452
2017,California,132190
2017,Colorado,39989
2017,Connecticut,16406
2017,Delaware,4296
2017,District of Columbia,104
2017,Florida,103641
2017,Georgia,37829
2017,Guam,147
